rev, All, STARTS, Ekstazi
rev_1,  22.499,  27.081,  23.693
rev_2,  22.437,  8.396,  7.959
rev_3,  22.559,  6.772,  8.057
rev_4,  22.452,  7.824,  8.660
rev_5,  22.572,  17.587,  14.351
rev_6,  22.809,  17.767,  15.205
rev_7,  22.614,  10.369,  9.161
rev_8,  23.001,  13.686,  8.795
rev_9,  22.423,  8.368,  8.385
rev_10,  22.443,  18.672,  14.291
rev_11,  22.481,  13.786,  12.602
rev_12,  22.449,  11.592,  8.154
rev_13,  22.582,  9.000,  8.877
rev_14,  22.384,  9.164,  11.512
rev_15,  22.772,  7.930,  8.710
rev_16,  22.581,  12.460,  8.089
rev_17,  22.497,  6.741,  8.757
rev_18,  22.787,  7.887,  8.043
rev_19,  22.522,  9.839,  8.171
rev_20,  22.360,  12.146,  8.011
rev_21,  22.426,  19.757,  8.923
rev_22,  22.548,  8.673,  8.022
rev_23,  22.473,  7.976,  8.101
rev_24,  22.464,  8.464,  8.020
rev_25,  22.363,  9.394,  8.785
rev_26,  22.660,  19.699,  8.797
rev_27,  22.496,  19.281,  8.840
rev_28,  22.685,  12.200,  8.777
rev_29,  22.315, fail, fail
rev_30,  22.516,  10.600,  7.907
rev_31,  22.471,  9.510,  8.053
rev_32,  22.602,  10.056,  8.234
rev_33,  22.650,  8.255,  8.059
rev_34,  22.633,  8.614,  8.047
rev_35,  22.682,  8.335,  8.086
rev_36,  23.301,  7.891,  8.117
rev_37,  22.536,  8.222,  8.058
rev_38,  22.565,  8.587,  8.091
rev_39,  22.659,  7.179,  8.058
rev_40,  22.754,  7.161,  8.038
rev_41,  22.483,  8.724,  8.080
rev_42,  22.755,  8.012,  7.994
rev_43,  22.543,  8.410,  8.043
rev_44,  22.642,  8.536,  7.978
rev_45,  22.401,  8.729,  8.106
rev_46,  22.500,  8.532,  8.046
rev_47,  22.734,  8.359,  8.092
rev_48,  22.666,  7.912,  7.972
rev_49,  22.608,  8.639,  8.018
rev_50,  22.785,  8.299,  8.079
